"","target","N_Day","mes","year","nivel","tmed","pDia","niv7","niv14","niv30","niv60","niv90","niv180","t7","t14","t30","t60","t90","t180","p30","p60","p90","p180","niv010","niv020","niv030"
"9459",-10.2,38477,5,2005,605.19,15.5,13,605.48125,605.77,606.41064516129,607.552950819672,608.734175824176,612.413204143646,17.8125,15.2166666666667,12.4112903225806,10.6231252131148,7.78308393406593,5.99177148066298,21.25,32,47,74.7,-0.0829999999999927,-0.0814999999999998,-0.0779999999999973
"9466",-9.2,38484,5,2005,604.53,16.5,2,604.85875,605.168666666667,605.836774193548,606.991147540984,608.181868131868,611.84077320442,16.03125,17.0166666666667,14.1129032258065,12.2091907868852,8.73638063736264,6.32878805524862,24.25,33.25,40.25,79.2,-0.0910000000000082,-0.0865000000000009,-0.0846666666666692
"9473",-10,38491,5,2005,604.31,12,0,604.3525,604.610666666667,605.272903225806,606.450491803279,607.631758241758,611.271325690608,13.65625,14.7333333333333,14.7661290322581,12.6313219344262,9.46989712087912,6.61746208839779,45.9,60.15,65.15,106.1,-0.05,-0.069500000000005,-0.0733333333333348
"9487",-7.2,38505,6,2005,603.44,20.5,0,603.82375,604.065333333333,604.400967741935,605.486557377049,606.61021978022,610.180386464088,20.3125,18.5,16.8951612903226,14.3360655737705,12.3297872307692,7.68790407734807,44.4,53.65,63.4,98.6,-0.092999999999995,-0.0504999999999995,-0.0636666666666656
"9494",-6.4,38512,6,2005,602.58,18.75,0,603.00875,603.414666666667,603.917741935484,604.965737704918,606.076813186813,609.634033149171,20.71875,20.5166666666667,17.9112903225806,15.6475409836066,13.7885784395604,8.22657811049724,31.4,51.15,63.4,78.4,-0.118999999999994,-0.0884999999999991,-0.0709999999999999
"9501",-5.8,38519,6,2005,601.76,20.25,0,602.16125,602.585333333333,603.382580645161,604.405409836066,605.528461538462,609.070773480663,18.1875,19.5,18.4032258064516,16.6885245901639,14.6512158021978,8.69342893922652,50.5,83.9,98.15,116.4,-0.120000000000005,-0.117000000000002,-0.0830000000000003
"9508",-4.7,38526,6,2005,601.43,23.25,0,601.45625,601.812,602.723225806452,603.830163934426,604.974285714286,608.501215469613,22.59375,20.4,20.1935483870968,18.0327868852459,15.4424245934066,9.43237921546961,63,108.9,123.15,141.4,-0.0660000000000082,-0.0939999999999998,-0.0966666666666697
"9515",-3.4,38533,6,2005,600.75,22.75,0,601.13875,601.288666666667,602.05,603.283770491803,604.431428571429,607.941049723757,23.5625,23.0666666666667,21.1370967741935,18.9754098360656,16.4093406593407,10.2763018674033,82,126.4,135.65,160.4,-0.0549999999999955,-0.0850000000000023,-0.0969999999999989
"9522",-3.1,38540,7,2005,599.81,21,0,600.2725,600.702666666667,601.349032258065,602.702786885246,603.86021978022,607.369060773481,21.4375,22.4833333333333,21.2983870967742,19.5040983606557,17.3104395604396,10.9586223093923,105,136.4,157.65,183.4,-0.130000000000007,-0.0915000000000021,-0.101000000000003
"9529",-2.7,38547,7,2005,598.85,22,0,599.3375,599.804666666667,600.629677419355,602.087868852459,603.254725274725,606.784033149171,19.5625,20.4666666666667,21.3709677419355,19.8401639344262,18.1016483516484,11.6133184419889,134,155.9,194.15,221.4,-0.130999999999995,-0.127499999999998,-0.104333333333333
"9543",-0.8,38561,7,2005,596.49,24.25,0,597.0275,597.633333333333,598.857741935484,600.543770491803,601.907692307692,605.554806629834,24.4375,24.3333333333333,22.5322580645161,21.7377049180328,20.0247252747253,13.3301692707182,67.75,148.25,192.65,226.65,-0.166999999999996,-0.157999999999998,-0.150333333333333
"9550",-0.9,38568,8,2005,595.88,19,0,596.1525,596.596666666667,597.842580645161,599.690327868852,601.18956043956,604.92182320442,20.75,22.4833333333333,21.7661290322581,21.6762295081967,20.1950549450549,14.0511637458564,96.25,178.25,209.65,256.65,-0.107000000000005,-0.139999999999998,-0.140000000000002
"9578",-0.4,38596,9,2005,593.25,21.75,0,593.65875,594.038666666667,594.750967741935,596.442950819672,598.209230769231,602.367127071823,20.5,19.8,20.75,21.594262295082,21.5302197802198,17.0152521436464,79.5,152.25,234.25,297.65,-0.114999999999998,-0.0985000000000014,-0.0923333333333327
"9592",-0.2,38610,9,2005,592.53,18,0,592.66875,592.757333333333,593.496774193548,594.897213114754,596.701208791209,601.072154696133,16.71875,18.8666666666667,19.5483870967742,21.1639344262295,21.4120879120879,18.0608322541436,99.25,160.25,265.25,363.4,-0.0180000000000064,-0.0699999999999989,-0.0786666666666671
"9599",-0.7,38617,9,2005,591.99,14.5,0,592.2725,592.466666666667,592.95064516129,594.260655737705,595.995274725275,600.441325966851,15.09375,15.7666666666667,18.2903225806452,19.9959016393443,20.7774725274725,18.1354178895028,78,163.25,243.25,366.4,-0.0730000000000018,-0.0564999999999998,-0.0763333333333321
"9606",-0.8,38624,9,2005,591.39,18,0,591.68125,591.976,592.431290322581,593.684918032787,595.267582417582,599.805138121547,16.1875,15.7166666666667,17.4758064516129,19.0901639344262,20.2252747252747,18.3632596685083,101,180.5,253.25,388.9,-0.0840000000000032,-0.0694999999999993,-0.0706666666666668
"9620",-1.5,38638,10,2005,590.2,13.75,43,590.445,590.768666666667,591.453870967742,592.552295081967,593.880989010989,598.52226519337,13.8125,14.1666666666667,14.9758064516129,17.4713114754098,19.239010989011,18.6961325966851,99.5,178.25,239.25,428.15,-0.08599999999999,-0.0849999999999966,-0.0826666666666635
"9627",-2.9,38645,10,2005,599.24,12.75,0,595.01625,592.899333333333,592.185161290323,592.654262295082,593.693186813187,598.10453038674,13.3125,13.55,14.2903225806452,16.405737704918,18.3681318681319,18.7983425414365,154,252.5,317.25,506.15,0.886000000000001,0.397000000000003,0.236333333333334
"9634",-3.7,38652,10,2005,601.82,12.5,0,600.77125,597.804,594.239032258065,593.437704918033,594.004175824176,597.913149171271,13.09375,13.2333333333333,13.8548387096774,15.7131147540984,17.5,18.7638121546961,144.5,251.5,331.5,524.15,0.60200000000001,0.5565,0.342333333333337
"9641",-4,38659,11,2005,602.45,11.75,0,602.2025,601.464666666667,596.712258064516,594.457704918033,594.477472527473,597.793370165746,13.5625,13.3833333333333,13.3467741935484,14.8934426229508,16.9972527472527,18.621546961326,147,248,304,513.65,0.136000000000001,0.517500000000001,0.382333333333334
"9648",-5,38666,11,2005,602.5,10.5,4,602.49125,602.34,599.380322580645,595.585409836066,595.013076923077,597.707458563536,10.3125,11.95,12.6693548387097,13.8688524590164,16.0137362637363,18.3922651933702,151,203.5,303.25,511.65,0.0220000000000027,0.129500000000002,0.407666666666667
"9655",-6.2,38673,11,2005,606.28,8,0,603.565,603.063333333333,601.933548387097,596.860983606557,595.685274725275,597.684419889503,8.4375,9.3,11.4193548387097,12.7991803278689,14.8873626373626,18.1809392265193,98,217.5,319.75,523.75,0.376999999999998,0.214999999999998,0.332666666666667
"9662",-7.4,38680,11,2005,607.93,3.25,0,607.31375,605.383333333333,603.754193548387,598.627704918033,596.691978021978,597.807071823204,5.90625,7.11666666666667,9.70161290322581,11.8852459016393,13.9120879120879,17.6933701657459,44,217.5,295.5,523.75,0.502999999999997,0.272999999999996,0.217666666666666
"9669",-8.4,38687,12,2005,608.28,1.5,0,608.14875,607.718,605.167741935484,600.545409836066,597.813296703297,597.981988950276,1.75,3.86666666666667,6.87903225806452,10.2377049180328,12.4395604395604,16.957182320442,43.5,188.5,289.5,523.75,0.0730000000000018,0.289999999999998,0.197666666666665
"9683",-10.2,38701,12,2005,608.97,-4.5,0,608.8875,608.712,607.986774193548,604.631967213115,600.278021978022,598.472209944751,0.5,1.95,3.21774193548387,7.52868852459016,9.87362637362637,15.6091160220994,48,131,247,512.25,0.0350000000000023,0.0475000000000023,0.167
"9690",-11.2,38708,12,2005,609.08,1,0,609.03,608.958,608.593225806452,605.919836065574,601.570549450549,598.768453038674,0.28125,0.716666666666667,1.95967741935484,6.12295081967213,8.81868131868132,14.7444751381215,26.5,90,244,469.75,0.0180000000000064,0.0385000000000048,0.0459999999999998
"9697",-11.9,38715,12,2005,609.13,-3.5,0,609.11,609.069333333333,608.846774193548,606.789672131148,602.914945054945,599.082762430939,0.34375,0.266666666666667,1.33870967741935,4.60245901639344,7.57417582417582,13.8591160220994,26.5,70,215,468.25,0.00900000000000318,0.0149999999999977,0.0296666666666662
"9704",-12.7,38722,1,2006,609.06,1,0,609.12,609.114,609.013548387097,607.56262295082,604.304615384615,599.432928176796,0.59375,0.733333333333333,0.854838709677419,3.26229508196721,6.62087912087912,13.103591160221,0,68,215,445.25,-0.00600000000000591,0.00349999999999682,0.0126666666666665
"9711",-12.7,38729,1,2006,609.04,3.25,0,609.015,609.068,609.058064516129,608.310327868852,605.736373626374,599.814917127072,2.03125,1.33333333333333,0.903225806451613,2.45081967213115,5.69505494505495,12.4102209944751,0,64,168,407.25,-0.0100000000000023,-0.00250000000000341,0.00400000000000015
